# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
35                      	1.6610369037954178e-02	9.5541178194355446e-03	7.0562512185186332e-03	-2.4188201894954891e-03	1.2926812133634769e-02	-1.5345632323130258e-02	1.4136222228382515e-02	1.2489333004584555e-03	8.5765957777671851e-03	3.0166429191966187e-22	8.5765957777671851e-03	-8.5765957777671851e-03
36                      	1.7843539506048316e-02	1.0168128216414083e-02	7.6754112896342342e-03	-2.4138334797298533e-03	1.3733502372446584e-02	-1.6147335852176436e-02	1.4940419112311509e-02	1.2463584633899245e-03	9.2133308560641593e-03	1.5742043707436756e-22	9.2133308560641593e-03	-9.2133308560641593e-03
37                      	1.9336506485070480e-02	1.0952274428406100e-02	8.3842320566643782e-03	-2.4867752080790085e-03	1.4767846720603914e-02	-1.7254621928682923e-02	1.6011234324643419e-02	1.2840211858708610e-03	9.9842092308533824e-03	2.0122679054227682e-23	9.9842092308533824e-03	-9.9842092308533824e-03
38                      	1.9415384211727824e-02	1.1018371934682214e-02	8.3970122770456092e-03	-2.5384052380911415e-03	1.4843766281690002e-02	-1.7382171519781144e-02	1.6112968900735571e-02	1.3106798288183017e-03	1.0024936945924830e-02	-6.7256847308747778e-23	1.0024936945924830e-02	-1.0024936945924830e-02
39                      	1.8461125308644868e-02	1.0537303002848357e-02	7.9238223057965136e-03	-2.5307756117021038e-03	1.4186268851254765e-02	-1.6717044462956868e-02	1.5451656657105817e-02	1.3067403485259219e-03	9.5322150286466945e-03	-8.4982649976940553e-23	9.5322150286466945e-03	-9.5322150286466945e-03
40                      	1.7344973207599992e-02	9.9478987437502595e-03	7.3970744638497329e-03	-2.4701019925619022e-03	1.3381997125852557e-02	-1.5852099118414460e-02	1.4617048122133510e-02	1.2754121399502628e-03	8.9559011986954182e-03	-7.3059681949072038e-23	8.9559011986954182e-03	-8.9559011986954182e-03
41                      	1.6603218485193118e-02	9.4738024848361330e-03	7.1294160003569839e-03	-2.2701970387677831e-03	1.2731655530901633e-02	-1.5001852569669417e-02	1.3866754050285524e-02	1.1721932422395741e-03	8.5729036622892701e-03	-7.8375440566703554e-23	8.5729036622892701e-03	-8.5729036622892701e-03
42                      	1.6094577113796377e-02	9.0704415847324277e-03	7.0241355290639488e-03	-1.9815495349194789e-03	1.2179227391835573e-02	-1.4160776926755051e-02	1.3170002159295313e-02	1.0231530278342403e-03	8.3102718430713290e-03	-1.0020880458722553e-22	8.3102718430713290e-03	-8.3102718430713290e-03
43                      	1.5563469659412195e-02	8.6655781513422549e-03	6.8978915080699409e-03	-1.7117471925358480e-03	1.1630893952365334e-02	-1.3342641144901184e-02	1.2486767548633260e-02	8.8384332163615644e-04	8.0360398895004161e-03	-1.2307023588788945e-22	8.0360398895004161e-03	-8.0360398895004161e-03
44                      	1.4902404794750383e-02	8.2046482709262954e-03	6.6977565238240866e-03	-1.4592052994091011e-03	1.1015015512337785e-02	-1.2474220811746886e-02	1.1744618162042336e-02	7.5344587355110455e-04	7.6947057436946393e-03	-1.3919946766940963e-22	7.6947057436946393e-03	-7.6947057436946393e-03
45                      	1.4004102306420886e-02	7.6646425204348482e-03	6.3394597859860388e-03	-1.2832465719662513e-03	1.0297519186672804e-02	-1.1580765758639054e-02	1.0939142472655929e-02	6.6259136722440456e-04	7.2308763542957514e-03	-1.6445252134755002e-22	7.2308763542957514e-03	-7.2308763542957514e-03
46                      	1.2702010618462307e-02	6.9066713660456015e-03	5.7953392524167056e-03	-1.0761633758558280e-03	9.2884827100356351e-03	-1.0364646085891464e-02	9.8265643979635504e-03	5.5566605681444737e-04	6.5585545023432853e-03	-1.8582701565466339e-22	6.5585545023432853e-03	-6.5585545023432853e-03
47                      	1.1202510437113495e-02	6.0199490326192590e-03	5.1825614044942363e-03	-8.1088801964005483e-04	8.1034034866911513e-03	-8.9142915063312074e-03	8.5088474965111793e-03	4.1869381406251172e-04	5.7843027747187361e-03	-2.0220755617092731e-22	5.7843027747187361e-03	-5.7843027747187361e-03
48                      	9.7731105267374486e-03	5.1534786751446212e-03	4.6196318515928274e-03	-5.1695293673053471e-04	6.9400963294456606e-03	-7.4570492661761951e-03	7.1985727978109279e-03	2.6692341177589709e-04	5.0462466118448264e-03	-2.0286625220287662e-22	5.0462466118448264e-03	-5.0462466118448264e-03
49                      	8.5643204577999944e-03	4.3943347697730957e-03	4.1699856880268987e-03	-2.1724942726055808e-04	5.9163330582062690e-03	-6.1335824854668285e-03	6.0249577718365487e-03	1.1217454087309859e-04	4.4221001056614353e-03	-1.5826460677554180e-22	4.4221001056614353e-03	-4.4221001056614353e-03
50                      	7.6981236636709692e-03	3.8203899051304914e-03	3.8777337585404774e-03	5.5529174504606033e-05	5.1378632344286686e-03	-5.0823340599240631e-03	5.1100986471763659e-03	-2.8671926704992864e-05	3.9748481662091962e-03	-1.2398115438591014e-22	3.9748481662091962e-03	-3.9748481662091962e-03
51                      	7.2003488719899547e-03	3.4606820233700352e-03	3.7396668486199196e-03	2.7015619153944448e-04	4.6443915974613307e-03	-4.3742354059218861e-03	4.5093135016916084e-03	-1.3949241262494196e-04	3.7178271953412210e-03	-1.2890764010106086e-22	3.7178271953412210e-03	-3.7178271953412210e-03
52                      	6.7184741320114212e-03	3.1310962733196814e-03	3.5873778586917402e-03	4.4184229469572758e-04	4.1912183321307622e-03	-3.7493760374350356e-03	3.9702971847828984e-03	-2.2814079268602949e-04	3.4690160550908638e-03	-1.4417407094512230e-22	3.4690160550908638e-03	-3.4690160550908638e-03
53                      	6.1485871464829834e-03	2.7725572774374976e-03	3.3760298690454853e-03	5.8437535769634231e-04	3.7008580688300840e-03	-3.1164827111337416e-03	3.4086703899819126e-03	-3.0173629580399364e-04	3.1747606834781413e-03	-1.6230333181498467e-22	3.1747606834781413e-03	-3.1747606834781413e-03
54                      	5.3408933993390993e-03	2.2952377141599945e-03	3.0456556851791048e-03	7.2667056687293662e-04	3.0539425318913075e-03	-2.3272719650183709e-03	2.6906072484548394e-03	-3.7520898550955556e-04	2.7577161996587512e-03	-1.7367178991480016e-22	2.7577161996587512e-03	-2.7577161996587512e-03
55                      	4.3849264642379275e-03	1.7279241797214494e-03	2.6570022845164780e-03	8.9967689894708482e-04	2.2884302945603537e-03	-1.3887533956132691e-03	1.8385918450868114e-03	-4.6453905239751431e-04	2.2641123573516075e-03	-1.7153641410443386e-22	2.2641123573516075e-03	-2.2641123573516075e-03
56                      	3.4220336949093723e-03	1.1341144836208082e-03	2.2879192112885637e-03	1.1172919198301670e-03	1.4882809307868823e-03	-3.7098901095671525e-04	9.2963497087179868e-04	-5.7690236383387764e-04	1.7669324307048385e-03	-1.5812754955547519e-22	1.7669324307048385e-03	-1.7669324307048385e-03
57                      	2.8011082542234306e-03	7.0858655877757237e-04	2.0925216954458584e-03	1.3401397209509352e-03	9.1389027188957714e-04	4.2624944906135805e-04	2.4382041141410955e-04	-6.9196756833414302e-04	1.4463238698277823e-03	-1.5529214619548882e-22	1.4463238698277823e-03	-1.4463238698277823e-03
58                      	2.9030771092075631e-03	6.5591756235486981e-04	2.2471595468526936e-03	1.5408862254947279e-03	8.4021023685410326e-04	7.0067598864062455e-04	6.9767124106739328e-05	-7.9562099224891186e-04	1.4989744550810294e-03	-1.8535352248196724e-22	1.4989744550810294e-03	-1.4989744550810294e-03
59                      	4.1743941875200287e-03	1.2350134633194153e-03	2.9393807242006137e-03	1.6504315880685023e-03	1.6146158361513853e-03	3.5815751917116863e-05	7.8940004211713421e-04	-8.5218363044059920e-04	2.1554061491116504e-03	-2.3445787107273063e-22	2.1554061491116504e-03	-2.1554061491116504e-03
