# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
59                      	5.3527967965763196e-03	4.2659553880180596e-03	1.0868414085582598e-03	-3.0785091066920845e-03	5.4988218499944404e-03	-8.5773309566865262e-03	7.0380764033404824e-03	1.5895569897299002e-03	2.7638623982322178e-03	2.7782375797337224e-22	2.7638623982322178e-03	-2.7638623982322178e-03
60                      	4.8329823753409757e-03	3.7632966494692685e-03	1.0696857258717070e-03	-2.6083700715849793e-03	4.8665674716198122e-03	-7.4749375432047911e-03	6.1707525074123021e-03	1.3468054617987808e-03	2.4954614879211588e-03	3.6266281082785948e-22	2.4954614879211588e-03	-2.4954614879211588e-03
61                      	4.1762036056439879e-03	3.0893635677376168e-03	1.0868400379063709e-03	-1.9391525320517750e-03	4.0198223784437140e-03	-5.9589749104954895e-03	4.9893986444696017e-03	1.0012617649156228e-03	2.1563404238292483e-03	4.2946045065987564e-22	2.1563404238292483e-03	-2.1563404238292483e-03
62                      	3.3806002426383149e-03	2.2718160257033490e-03	1.1087842169349659e-03	-1.1262270046934343e-03	2.9888920012356183e-03	-4.1151190059290528e-03	3.5520055035823356e-03	5.8151590438419146e-04	1.7455386873753396e-03	4.6723247371191422e-22	1.7455386873753396e-03	-1.7455386873753396e-03
63                      	2.4890888826986169e-03	1.3613398216886809e-03	1.1277490610099362e-03	-2.2619864799903707e-04	1.8370707592116424e-03	-2.0632694072106796e-03	1.9501700832111610e-03	1.1679538033937228e-04	1.2852158283215085e-03	4.9472845673420883e-22	1.2852158283215085e-03	-1.2852158283215085e-03
64                      	1.6420219225493475e-03	5.0749900425780387e-04	1.1345229182915435e-03	6.0718138510862114e-04	7.5396299144207910e-04	-1.4678160633345801e-04	4.5037229888776858e-04	-3.1351195701686976e-04	8.4784138484574208e-04	5.2664107550523297e-22	8.4784138484574208e-04	-8.4784138484574208e-04
65                      	1.0626006301455181e-03	-6.2044709091429648e-05	1.1246453392369478e-03	1.1491365657863406e-03	2.8008338327580002e-05	1.1211282274587605e-03	-5.4655994456559020e-04	-5.9334502416418878e-04	5.4866307046729391e-04	5.3552265599991794e-22	5.4866307046729391e-04	-5.4866307046729391e-04
66                      	9.0496972067217714e-04	-1.9406006498715793e-04	1.0990297856593350e-03	1.2521692857526165e-03	-1.4443217047090771e-04	1.3966014562235239e-03	-7.7051681334721592e-04	-6.4654492532324650e-04	4.6727194727517633e-04	5.1865668768488538e-22	4.6727194727517633e-04	-4.6727194727517633e-04
67                      	1.1561720382687725e-03	4.8638607450223597e-05	1.1075334308185490e-03	1.0253854935148973e-03	1.6159090475627687e-04	8.6379458875862050e-04	-3.5110184200117179e-04	-5.2944741168416262e-04	5.9697771910609862e-04	4.7320546412989690e-22	5.9697771910609862e-04	-5.9697771910609862e-04
68                      	1.6189433074797267e-03	4.4990001599034564e-04	1.1690432914893808e-03	6.9638557690729352e-04	6.7170447586599197e-04	2.4681101041301509e-05	3.2351168741234527e-04	-3.5957163774951768e-04	8.3592497575750587e-04	4.1581244633566002e-22	8.3592497575750587e-04	-8.3592497575750587e-04
