# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
34                      	smoothSolver	7.8340918452059219e-02	6.7555179707207702e-03	5	1.1100866461795100e-01	9.4289248087338646e-03	5	false	smoothSolver	1.2913563969601380e-02	8.0726187147897230e-04	2	true	smoothSolver	2.2648855476884899e-03	1.1177955540750500e-04	2	true	GAMG	5.3954170375517682e-02	3.0905875381857838e-03	3	true
35                      	smoothSolver	7.8221663054498194e-02	6.8369603848083384e-03	5	1.1209446905408950e-01	9.7708071082021255e-03	5	false	smoothSolver	1.1730707340138889e-02	8.4061362912111884e-04	2	true	smoothSolver	2.0531882875265660e-03	9.6235080786921182e-05	2	true	GAMG	5.4825258456929857e-02	2.9229816743936311e-03	3	true
36                      	smoothSolver	7.8433087405854460e-02	6.9622941401215992e-03	5	1.1271393711228669e-01	1.0288647394566190e-02	5	false	smoothSolver	1.0980020002150120e-02	7.8401361022431462e-04	2	true	smoothSolver	1.9407760660864689e-03	9.1852988955085969e-05	2	true	GAMG	5.7729152619054848e-02	2.8775531146766412e-03	3	true
37                      	smoothSolver	7.8600922356062433e-02	7.0173871097675648e-03	5	1.1387683925359700e-01	1.0763247653342941e-02	5	false	smoothSolver	1.0521187816867930e-02	7.5893494737941283e-04	2	true	smoothSolver	1.7627666233203359e-03	8.5666699131916140e-05	2	true	GAMG	6.2796479608210970e-02	3.0756653489930111e-03	3	true
38                      	smoothSolver	7.8889974756567449e-02	7.0717466097891587e-03	5	1.1486176840861580e-01	1.1222255475096560e-02	5	false	smoothSolver	9.7622454899909481e-03	6.8684389257787936e-04	2	true	smoothSolver	1.6842461751210680e-03	8.3790978222831523e-05	2	true	GAMG	6.7031735272615731e-02	3.3250901276448840e-03	3	true
39                      	smoothSolver	7.8874471469696880e-02	7.0913208934018116e-03	5	1.1427944924844530e-01	1.1378810578939550e-02	5	false	smoothSolver	9.4342306893944270e-03	6.6105209405229153e-04	2	true	smoothSolver	1.5957507009988221e-03	7.7738177442179921e-05	2	true	GAMG	6.7952539198877809e-02	3.3584487170319551e-03	3	true
40                      	smoothSolver	7.8709826877175940e-02	7.0578230234949139e-03	5	1.1273733192935510e-01	1.1264969161416520e-02	5	false	smoothSolver	9.0467213600129107e-03	6.2975490436424230e-04	2	true	smoothSolver	1.5409743728742879e-03	7.2802917505847785e-05	2	true	GAMG	6.9323597910648932e-02	3.4194261719365520e-03	3	true
41                      	smoothSolver	7.8006958169473714e-02	7.0019483225987004e-03	5	1.1116689464825311e-01	7.5247007697656527e-03	6	false	smoothSolver	8.8431202664829862e-03	5.7711717837468507e-04	2	true	smoothSolver	1.5015656398380630e-03	6.7744178996607122e-05	2	true	GAMG	7.0584353372320621e-02	3.5378805808000831e-03	3	true
42                      	smoothSolver	7.6596360582959863e-02	6.9051173937778416e-03	5	1.0913429349620540e-01	7.4596163582015150e-03	6	false	smoothSolver	8.6010352816623895e-03	5.6602797711492476e-04	2	true	smoothSolver	1.4317352199838089e-03	6.9207584298271879e-05	2	true	GAMG	7.1368474065774803e-02	3.4599505317016912e-03	3	true
43                      	smoothSolver	7.4542712457994251e-02	6.7057435926731147e-03	5	1.0741195190635371e-01	7.4757270861766220e-03	6	false	smoothSolver	8.7526426320163418e-03	5.7977081073192546e-04	2	true	smoothSolver	1.4171379401688260e-03	6.9101353809515026e-05	2	true	GAMG	7.1688397033223120e-02	3.4619877310857021e-03	3	true
